Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Percent Electric Vehicles
March 31 2020,Kitsap,WA,Truck,1,0,1,55357,0.00
March 31 2020,Kittitas,WA,Passenger,106,53,159,30798,0.51
March 31 2020,Kittitas,WA,Truck,0,0,0,14974,0.00
March 31 2020,Klickitat,WA,Passenger,52,43,95,15689,0.60
March 31 2020,Klickitat,WA,Truck,0,0,0,8399,0.00
March 31 2020,Lewis,WA,Passenger,117,124,241,60466,0.40
March 31 2020,Lewis,WA,Truck,0,0,0,26671,0.00
March 31 2020,Lincoln,WA,Passenger,2,10,12,7728,0.16
March 31 2020,Lincoln,WA,Truck,0,0,0,4654,0.00
March 31 2020,Mason,WA,Passenger,170,141,311,48575,0.64
March 31 2020,Mason,WA,Truck,0,0,0,21037,0.00
March 31 2020,Okanogan,WA,Passenger,40,33,73,26648,0.27
March 31 2020,Okanogan,WA,Truck,0,0,0,16942,0.00
March 31 2020,Pacific,WA,Passenger,31,36,67,16174,0.41
March 31 2020,Pacific,WA,Truck,0,0,0,7850,0.00
March 31 2020,Pend Oreille,WA,Passenger,8,6,14,9438,0.15
March 31 2020,Pend Oreille,WA,Truck,0,0,0,5804,0.00
March 31 2020,Pierce,WA,Passenger,2341,1808,4149,562146,0.73
March 31 2020,Pierce,WA,Truck,0,0,0,144359,0.00
March 31 2020,San Juan,WA,Passenger,303,93,396,14587,2.64
March 31 2020,San Juan,WA,Truck,0,0,0,5993,0.00
March 31 2020,Skagit,WA,Passenger,415,240,655,93565,0.70
March 31 2020,Skagit,WA,Truck,1,0,1,33097,0.00
March 31 2020,Skamania,WA,Passenger,27,18,45,8753,0.51
March 31 2020,Skamania,WA,Truck,0,0,0,4130,0.00
March 31 2020,Snohomish,WA,Passenger,4366,1858,6224,544482,1.13
March 31 2020,Snohomish,WA,Truck,0,0,0,125494,0.00
March 31 2020,Spokane,WA,Passenger,715,520,1235,324220,0.38
March 31 2020,Spokane,WA,Truck,1,0,1,100101,0.00
March 31 2020,Stevens,WA,Passenger,34,35,69,31034,0.22
March 31 2020,Stevens,WA,Truck,0,0,0,18707,0.00
March 31 2020,Thurston,WA,Passenger,1174,789,1963,201988,0.96
March 31 2020,Thurston,WA,Truck,0,0,0,56690,0.00
